"participant_id","academic_yr","assignment","response_min","percent_accuracy","jazz_familiarity","sleep_quality_binary","music_study_habit_binary","caffeine_binary","stress_pre_test"
199,"1","Instrumental_Jazz",39.6286942245576,89.3,3,1,0,1,2
200,"1","No_Music",45.5195731723189,68.4,4,1,1,0,2
201,"1","Jazz",41.053563672521,61.1,3,0,1,1,3
202,"1","No_Music",47.8358652633184,79.2,1,0,0,0,5
203,"1","Instrumental_Jazz",39.22924014375,90.5,2,0,1,0,1
204,"1","No_Music",44.0106464840348,71.8,1,1,1,0,5
205,"1","Instrumental_Jazz",53.2246563363185,76.7,4,0,1,1,1
206,"1","Instrumental_Jazz",49.7526112399231,83.9,1,1,1,0,2
207,"1","No_Music",42.3636390464123,81.2,5,1,0,0,3
208,"1","Jazz",50.6475295558176,63.6,4,0,1,1,1
209,"1","No_Music",52.8215271764749,75.1,3,0,0,1,3
210,"1","Instrumental_Jazz",45.9856264407109,79.5,1,1,1,0,3
211,"1","No_Music",41.3433468640718,78.4,3,1,1,1,2
212,"1","Jazz",52.2272999347934,66.8,3,1,0,0,4
213,"1","Jazz",48.3307218101343,70.8,3,0,0,1,2
214,"1","Jazz",46.3813922943575,66.5,2,0,1,0,2
215,"1","Instrumental_Jazz",37.6646543642705,82.7,4,1,0,0,1
216,"1","Jazz",54.6553145179506,71,1,1,0,1,2
217,"1","Instrumental_Jazz",48.1974135988768,77.9,3,1,1,0,3
218,"1","No_Music",49.5575849959637,77.8,3,1,1,0,3
219,"1","Jazz",46.92363285553,58,3,1,0,0,3
220,"1","No_Music",49.8164696035545,77.1,4,1,1,1,1
221,"1","Instrumental_Jazz",47.2401133790752,85.6,3,1,1,0,5
222,"1","Jazz",51.8240173841246,66.5,4,1,1,0,1
223,"1","No_Music",51.7637956000236,77.3,4,1,1,1,2
224,"1","Jazz",46.0153698592973,69.4,2,1,0,0,2
225,"1","No_Music",42.581444136631,67.7,3,0,1,1,2
226,"1","Jazz",53.4371088953238,67.2,5,1,0,0,2
227,"1","Instrumental_Jazz",44.8363076119513,84.9,3,1,1,1,1
228,"1","Instrumental_Jazz",50.4830402640242,85,4,0,0,0,3
229,"1","No_Music",38.1742882144524,73.1,3,0,1,1,2
230,"1","Instrumental_Jazz",49.6439192051097,78.9,3,1,1,0,2
231,"1","Jazz",48.0738608124076,63.1,3,1,1,0,2
232,"1","Instrumental_Jazz",42.7648106592381,74.7,5,1,1,1,3
233,"1","Jazz",54.108996967101,65.5,5,0,1,1,2
234,"1","Jazz",40.4614052386109,69.2,3,1,1,0,2
235,"1","Jazz",50.9205130197823,78,1,1,1,0,2
236,"1","Jazz",48.2400106057773,62.7,5,0,1,1,3
237,"1","No_Music",47.4518493645572,67.5,3,0,0,0,1
238,"1","Jazz",51.7845467097839,77.6,3,1,1,0,3
239,"1","Jazz",51.7085352897453,72.2,1,0,1,0,3
240,"1","Instrumental_Jazz",42.8093167752105,81.2,4,0,0,0,2
241,"1","Jazz",43.4260253757317,70.1,3,1,1,1,1
242,"1","Instrumental_Jazz",54.1483452129157,84.9,4,1,0,1,1
243,"1","No_Music",45.7609072650689,75.5,3,1,0,0,1
244,"1","Jazz",48.9890468350395,72.5,5,1,0,1,2
245,"1","No_Music",49.9568224692782,74.1,3,1,0,1,3
246,"1","Instrumental_Jazz",39.3158780880504,83.7,4,1,0,0,4
247,"1","Jazz",43.155518518725,73.2,4,1,0,0,5
248,"1","No_Music",56.9556209488692,67,5,1,1,1,4
249,"1","Jazz",58.2149615714907,58.1,3,1,0,0,4
250,"1","Instrumental_Jazz",43.8304774787806,88.1,3,1,1,1,4
251,"1","No_Music",56.3066696086992,79.4,5,1,1,1,1
252,"1","Instrumental_Jazz",44.4516708907702,83,2,1,0,0,4
253,"1","Instrumental_Jazz",48.8267335811941,80.3,3,1,1,1,2
254,"1","Instrumental_Jazz",45.1384945654379,85.1,5,1,1,1,2
255,"1","No_Music",47.2601534102425,66.2,1,1,0,0,2
256,"1","Instrumental_Jazz",47.9898313494102,79.4,3,1,0,0,3
257,"1","No_Music",48.0003637821335,70,5,1,1,1,2
258,"1","No_Music",43.4692049975301,85.6,3,1,0,1,2
259,"1","Instrumental_Jazz",41.2957281055905,76,5,1,1,0,3
260,"1","Jazz",56.710422223038,62.5,2,0,1,1,1
261,"1","Jazz",43.8000090754015,61.1,5,1,0,0,1
262,"1","Instrumental_Jazz",49.0910782992976,72.6,2,1,1,0,2
263,"1","Instrumental_Jazz",45.530661970159,81.9,5,1,0,1,2
264,"1","No_Music",54.5282154722883,78.8,2,1,0,0,3
265,"1","No_Music",48.5110643956595,73.8,4,1,1,0,3
266,"1","Instrumental_Jazz",41.1632374932693,92.3,1,1,1,0,3
267,"1","No_Music",47.3262008402083,65.6,2,1,0,1,2
268,"1","Instrumental_Jazz",31.1168885984498,82.4,3,1,0,0,5
269,"1","Jazz",46.497796887486,65.7,5,1,0,0,2
270,"1","No_Music",49.6438864396803,82.1,3,1,0,1,4
271,"1","Instrumental_Jazz",45.910355683888,82.2,5,0,0,0,3
272,"1","Instrumental_Jazz",48.9263133897903,76.4,3,1,1,0,1
273,"1","No_Music",42.8189593905725,76,4,1,0,1,3
274,"1","Instrumental_Jazz",47.4224431275567,80.9,1,1,1,0,3
275,"1","Jazz",53.9637187825996,67.7,5,0,0,1,2
276,"1","No_Music",45.5367266750633,67.5,5,0,0,0,2
277,"1","Jazz",43.0773494502849,69.6,4,0,1,1,1
278,"1","Jazz",56.0291441936486,75.3,3,1,1,0,3
279,"1","Instrumental_Jazz",44.4594134699804,80.2,3,1,1,1,3
280,"1","Instrumental_Jazz",46.1547094770422,87,3,1,0,0,4
281,"1","Instrumental_Jazz",43.1507045380432,88.5,3,1,1,1,3
282,"1","Instrumental_Jazz",39.023318510144,86.3,3,0,0,0,2
283,"1","Instrumental_Jazz",43.4684058560941,78,3,0,0,1,2
284,"1","Jazz",55.8914727515312,54.1,3,1,1,0,3
285,"1","Jazz",55.6643543114591,71.3,4,1,0,0,2
286,"1","No_Music",52.3342004597473,72.9,4,0,1,1,3
287,"1","No_Music",44.5020868421719,74.1,3,1,1,0,2
288,"1","Jazz",43.031161113561,65.8,2,1,1,0,2
289,"1","Jazz",53.7518394570826,66.7,4,0,0,1,3
290,"1","Instrumental_Jazz",45.4117113607373,75.3,3,0,0,0,4
291,"1","Jazz",51.3092998362181,66.9,4,1,1,0,1
292,"1","No_Music",46.1217958661735,72.9,2,1,1,1,2
293,"1","No_Music",40.0323560267396,77,4,0,0,1,2
294,"1","Instrumental_Jazz",47.8793918415691,71.8,2,0,1,0,5
295,"1","Jazz",45.9923809077417,60.2,3,1,1,1,3
296,"1","No_Music",44.8321441055171,74.6,4,1,1,0,3
297,"1","Instrumental_Jazz",33.4789147591053,80.8,5,1,1,0,4
298,"1","No_Music",60.0333123867578,73.4,2,1,1,1,3
299,"1","Jazz",53.4499535144594,73.4,3,0,1,0,2
300,"1","No_Music",41.6961361354498,73.1,3,0,0,1,3
301,"1","Instrumental_Jazz",46.0282353028124,80,3,1,0,0,3
302,"1","Jazz",48.4637352457048,61.5,3,1,0,0,3
303,"1","Instrumental_Jazz",53.6126331982724,78.5,3,1,1,1,1
304,"1","Jazz",61.1309064857785,72.1,1,1,1,0,1
305,"1","Instrumental_Jazz",55.735002261356,90.6,3,0,1,1,3
306,"1","No_Music",46.0770205906468,82.6,3,1,1,1,3
307,"1","Jazz",53.3129564777646,63.1,3,1,1,1,3
308,"1","Jazz",61.0561131216862,72,4,1,0,1,2
309,"1","Instrumental_Jazz",44.1274042823814,74.8,4,1,1,1,2
310,"1","Jazz",48.2404918729054,62.3,4,1,0,0,3
311,"1","Instrumental_Jazz",50.4816768180205,83.1,3,0,1,0,3
312,"1","No_Music",52.2759435412367,84.2,4,1,0,0,3
313,"1","No_Music",50.3131979744854,74.8,2,0,1,1,3
314,"1","Jazz",47.748791753428,71.7,3,1,0,1,1
315,"1","Instrumental_Jazz",51.3192601712294,81.1,3,1,1,0,5
316,"1","Jazz",41.7561259146579,66.5,4,1,1,1,1
317,"1","Jazz",57.8432179667923,68.6,4,1,0,0,3
318,"1","Instrumental_Jazz",39.6109395706789,89.6,5,0,0,1,4
319,"1","No_Music",55.2053817438461,70.6,3,0,0,1,1
320,"1","Jazz",57.6051856334537,65.3,1,1,1,1,3
321,"1","No_Music",47.7360916515098,76.1,5,1,0,1,3
322,"1","No_Music",54.0419660093789,74.9,3,1,0,1,2
323,"1","No_Music",44.8401497199634,68.4,4,1,1,1,3
324,"1","Jazz",63.4458162244775,65.9,3,0,0,1,1
325,"1","Instrumental_Jazz",38.7595411685794,84.9,3,1,0,1,2
326,"1","Instrumental_Jazz",50.8247548425253,80.6,4,1,0,0,2
327,"1","Jazz",51.568619169516,66.9,3,1,1,1,2
328,"1","No_Music",53.163177194261,67.9,3,1,0,0,4
329,"1","Jazz",47.837191972653,64.2,3,1,1,0,1
330,"1","Instrumental_Jazz",50.1341672897757,77.5,5,0,1,1,2
331,"1","Jazz",50.3098061140886,68,3,1,1,1,3
332,"1","Jazz",51.8605102320011,64.4,3,1,0,1,3
333,"1","Jazz",51.5979265213702,63.8,2,1,1,1,2
334,"1","No_Music",53.4978381566516,78.9,4,1,0,0,2
335,"1","Instrumental_Jazz",36.5011275095009,81.5,1,1,1,1,1
336,"1","No_Music",52.3369773629837,84.4,4,0,0,1,1
337,"1","Jazz",43.9577364739344,56.6,3,1,1,1,4
338,"1","No_Music",49.6593547505806,79.9,5,0,1,0,2
339,"1","No_Music",47.8248221949574,75.6,4,1,1,1,3
340,"1","Jazz",50.366012183077,60.4,5,1,1,0,3
341,"1","No_Music",48.2063656730322,75.5,2,1,0,1,3
342,"1","Jazz",51.2424084417402,67.6,2,1,1,1,3
343,"1","Instrumental_Jazz",45.3738147975709,80.4,3,1,1,0,2
344,"1","Instrumental_Jazz",45.5124999091185,81.7,3,1,0,0,2
345,"1","Jazz",43.6371854272941,72.7,3,0,0,1,3
346,"1","Jazz",55.6866291063574,68.4,4,0,0,0,2
347,"1","Jazz",42.5554449839227,61.1,3,1,0,1,2
348,"1","Instrumental_Jazz",49.5327284743116,77.4,4,1,1,1,5
349,"1","Instrumental_Jazz",42.4137924674686,70.5,3,0,0,0,3
350,"1","Jazz",50.5535514000519,69.5,3,1,0,1,3
351,"1","Instrumental_Jazz",46.8191893352517,79.9,4,1,0,1,3
352,"1","No_Music",52.3770439197567,76.2,5,1,0,0,3
353,"1","No_Music",41.149168962345,75.6,1,0,0,0,3
354,"1","Jazz",44.8052278232169,63.2,2,0,1,0,3
355,"1","No_Music",47.7350565343681,74,4,1,1,1,3
356,"1","Jazz",56.712455113147,71.3,3,1,1,0,2
357,"1","Instrumental_Jazz",44.0778561743437,79.3,2,1,1,0,2
358,"1","Instrumental_Jazz",51.4169529138533,83,4,0,1,0,1
359,"1","Jazz",49.4188887712774,66.7,3,1,0,0,3
360,"1","Instrumental_Jazz",45.4239889217984,70.7,5,0,0,0,3
361,"1","Jazz",58.4724487486937,59.7,5,0,1,1,2
362,"1","Jazz",56.1435518227784,61.4,4,1,1,0,4
363,"1","Jazz",48.6091249809457,72,2,1,1,1,1
364,"1","Instrumental_Jazz",42.8091441582919,77.4,3,0,1,0,3
365,"1","Instrumental_Jazz",48.3162458928852,79.1,3,0,1,0,2
366,"1","Instrumental_Jazz",59.2555214173393,85.6,1,1,1,0,4
367,"1","No_Music",44.9278213824634,76.8,4,1,1,1,3
368,"1","No_Music",46.4914981259501,71,2,0,0,0,1
369,"1","Jazz",49.2315761160535,54.1,5,0,0,0,3
370,"1","Instrumental_Jazz",38.1128842193837,85.6,4,1,0,0,3
371,"1","No_Music",35.3104098436552,60.9,2,1,0,0,2
372,"1","Instrumental_Jazz",42.5870876033462,85.5,4,1,1,0,2
373,"1","Instrumental_Jazz",39.5579080711217,82,4,0,1,1,3
374,"1","Instrumental_Jazz",44.7354270935851,82.4,5,0,1,0,4
375,"1","Jazz",49.1282503121324,66.7,4,0,1,0,5
376,"1","No_Music",42.9040503063787,78.4,5,1,1,0,2
377,"1","Instrumental_Jazz",45.8161782739924,93.2,4,1,1,0,2
378,"1","No_Music",46.7301927415718,76.4,2,1,0,0,5
379,"1","No_Music",47.7461398078574,83.3,4,0,1,0,2
380,"1","Instrumental_Jazz",37.3326893028379,86.5,2,1,1,0,3
381,"1","Jazz",53.6098466868513,65.6,5,1,0,0,1
382,"1","Jazz",51.498792632902,62.6,3,0,1,0,2
383,"1","Instrumental_Jazz",43.8828912537166,82.2,2,1,0,0,2
384,"1","Instrumental_Jazz",42.2052217506208,88.1,4,1,0,1,3
385,"1","No_Music",48.1187239064654,72.8,4,1,0,0,5
386,"1","Jazz",47.4676740025194,66.3,4,1,1,1,4
387,"1","No_Music",45.0305489039708,71.7,3,0,0,0,2
388,"1","Jazz",54.170986528478,64.4,3,1,1,1,4
389,"1","No_Music",42.9790656821293,70.6,5,0,0,1,3
390,"1","Instrumental_Jazz",55.4562027358706,78.2,5,1,1,1,5
391,"1","No_Music",39.1003991290575,76.1,5,1,1,1,2
392,"1","No_Music",52.0358623680545,64.7,2,1,1,0,3
393,"1","No_Music",44.6719316395882,84.9,3,0,1,1,2
394,"1","No_Music",49.8608587887999,74.9,4,1,1,0,3
395,"1","No_Music",51.9829339688063,77.5,3,0,1,1,3
396,"1","Instrumental_Jazz",51.6493985870167,83.6,3,0,0,1,2
397,"1","Jazz",57.4429236121431,68.9,3,1,1,0,2
398,"1","No_Music",46.2173583775024,76.3,5,1,1,0,3
399,"1","No_Music",43.314616498199,81.1,2,1,0,0,3
400,"1","Instrumental_Jazz",45.1397163796405,78.3,3,1,1,1,1
401,"1","Instrumental_Jazz",51.0556180129036,91.3,4,0,1,1,2
402,"1","Instrumental_Jazz",48.5937048018083,82.6,1,1,0,0,3
403,"1","No_Music",46.0365694945832,72.4,3,1,0,0,1
404,"1","Instrumental_Jazz",46.704734513505,88.3,2,1,1,1,2
405,"1","Instrumental_Jazz",44.8607883206897,82.5,4,1,0,0,2
406,"1","No_Music",52.7201753949545,69.1,3,0,1,1,4
407,"1","No_Music",54.4206616515806,61.8,2,1,1,0,3
408,"1","Instrumental_Jazz",44.8315620265112,81.2,3,1,1,1,3
409,"1","Instrumental_Jazz",49.589100728934,86.4,3,0,1,0,4
410,"1","No_Music",49.6448038630119,68.8,3,0,0,0,5
