"participant_id","treatment_invite","age","income","income_sq","race","family_law_enforcement","prev_incarcerated","family_incarcerated","num_children","num_children_under18","completed_pre_survey","completed_post_survey","attended_forum","trust_index_pre","trust_index_post","stress_index_pre","stress_index_post","safety_index_pre","safety_index_post","engage_index_pre","engage_index_post","satisfaction_index_pre","satisfaction_index_post"
63,0,39,93178,8682139684,"Black",0,0,0,1,0,1,1,1,3,3,4,4,4,4,3,3,3,4
64,0,43,18694,349465636,"Asian",0,0,0,3,3,1,1,0,3,2,3,3,2,2,3,3,2,1
65,1,44,20522,421152484,"Black",0,,0,0,0,1,1,1,3,4,3,2,3,3,3,3,3,3
66,0,52,55646,3096477316,"Black",0,0,0,1,1,1,1,0,2,2,3,2,3,3,3,4,3,4
67,1,37,82507,6807405049,"White",0,1,0,1,1,0,1,1,,2,,3,,2,,4,,3
68,1,58,100521,10104471441,"Black",0,0,0,1,0,1,1,0,3,3,5,5,3,2,2,2,4,3
69,1,26,96076,9230597776,"Black",0,0,0,2,2,1,1,1,3,3,4,4,3,3,3,3,3,4
70,0,22,23049,531256401,"Hispanic",0,0,0,1,0,1,1,0,2,2,4,4,2,3,3,3,3,2
71,1,22,17495,306075025,"Black",0,0,1,3,2,0,1,1,,2,,4,,3,,4,,3
72,1,51,9994,99880036,"White",0,0,0,1,1,1,0,1,3,,3,,3,,3,,3,
73,1,39,74886,5607912996,"White",0,0,0,3,2,1,1,1,3,4,3,3,3,4,3,3,3,4
74,0,52,96981,9405314361,"Black",0,1,0,1,1,1,1,0,3,3,4,4,4,4,2,2,3,3
75,0,36,65412,4278729744,"Black",1,0,0,1,1,1,1,0,2,2,4,4,3,3,3,3,3,3
76,0,31,21429,459202041,"Hispanic",0,,0,0,0,1,1,0,2,2,3,3,3,3,2,3,3,3
77,0,34,175247,30711511009,"White",0,0,0,4,3,1,1,0,3,3,1,1,4,4,4,4,3,3
78,1,18,37185,1382724225,"White",1,0,1,1,0,1,1,1,3,4,3,3,3,4,3,3,3,3
79,0,22,207525,43066625625,"White",0,0,0,0,0,1,1,0,2,2,2,3,4,4,3,3,3,3
80,0,18,77722,6040709284,"Black",0,0,0,1,0,1,0,0,2,,3,,3,,2,,3,
81,0,56,129577,16790198929,"Black",0,0,0,0,0,1,0,0,3,,4,,3,,2,,3,
82,1,31,65138,4242959044,"White",0,0,0,1,0,1,1,1,2,3,5,4,3,3,4,4,2,3
83,0,52,47480,2254350400,"Black",0,0,0,2,1,1,0,0,2,,3,,3,,3,,3,
84,1,63,22242,494706564,"Black",1,0,0,2,1,1,1,1,3,4,2,3,4,5,3,3,3,3
85,0,37,31983,1022912289,"Asian",0,,0,1,1,1,0,1,2,,3,,4,,3,,4,
86,0,44,48151,2318518801,"Black",0,1,0,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3
87,1,18,62657,3925899649,"Black",1,1,0,0,0,1,1,0,3,3,4,4,3,3,3,3,2,2
88,1,28,48689,2370618721,"White",0,0,0,1,1,1,1,1,3,4,2,2,3,3,3,3,3,3
89,1,41,43365,1880523225,"Black",0,0,0,1,1,1,0,1,3,,3,,4,,3,,3,
90,0,44,57905,3352989025,"White",0,0,0,2,1,1,1,0,2,3,3,2,3,3,2,2,4,4
91,0,29,32869,1080371161,"Black",0,0,0,0,0,1,1,1,2,1,4,4,4,4,3,4,3,3
92,1,80,32566,1060544356,"White",0,0,0,0,0,1,1,0,3,3,3,3,3,3,4,4,4,4
93,0,33,15603,243453609,"Black",0,1,0,0,0,1,1,0,3,3,4,3,2,2,3,3,2,2
94,1,41,98400,9682560000,"White",0,0,0,0,0,0,0,1,,,,,,,,,,
95,0,50,51913,2694959569,"White",0,,0,3,1,1,1,0,3,3,4,3,3,4,4,5,3,2
96,0,40,46764,2186871696,"Black",0,0,0,3,2,1,1,0,3,3,3,3,3,4,3,3,3,3
97,1,30,27641,764024881,"Black",1,0,0,0,0,1,1,1,3,3,4,4,3,3,3,3,3,4
98,0,56,41010,1681820100,"Other",0,0,0,1,0,1,0,0,2,,4,,3,,4,,3,
99,0,64,20960,439321600,"White",0,0,0,2,2,1,1,0,2,2,3,4,4,3,3,3,2,2
100,1,40,21598,466473604,"White",0,0,0,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3
101,1,48,10771,116014441,"Hispanic",0,0,0,1,1,1,1,0,2,2,4,4,3,3,3,3,2,2
102,0,39,109660,12025315600,"Black",0,1,1,2,2,1,1,0,1,1,4,3,3,4,2,2,3,3
103,0,55,55301,3058200601,"White",0,0,0,1,1,1,1,0,3,3,3,2,3,3,3,3,2,2
104,1,23,20463,418734369,"White",1,0,0,2,1,1,1,0,4,4,3,2,3,3,4,3,3,3
105,0,75,126856,16092444736,"Hispanic",0,0,0,1,0,1,1,0,3,3,3,2,3,2,3,3,2,2
106,1,31,82409,6791243281,"Black",0,0,0,2,0,1,1,1,1,1,4,4,4,5,2,3,3,2
107,1,18,90552,8199664704,"Black",0,0,0,1,1,1,0,1,3,,3,,3,,3,,3,
108,1,35,41738,1742060644,"White",0,0,0,2,1,1,1,1,2,2,4,4,4,4,3,3,2,2
109,0,42,35649,1270851201,"White",0,0,0,1,0,0,1,1,,4,,2,,3,,3,,4
110,0,64,46228,2137027984,"White",0,1,0,2,1,1,1,0,3,3,4,3,2,3,3,3,4,4
111,1,54,69115,4776883225,"White",0,1,1,0,0,1,1,1,2,3,3,2,3,3,3,3,2,2
112,0,42,94818,8990453124,"Black",0,0,0,0,0,1,1,1,3,3,3,2,4,4,3,3,3,3
113,0,19,178323,31799092329,"White",0,0,0,4,3,1,1,0,3,3,3,3,3,3,1,1,3,2
114,1,27,33274,1107159076,"Black",1,0,0,1,1,0,1,0,,2,,4,,4,,3,,2
115,1,38,22188,492307344,"White",0,0,0,3,1,1,1,1,3,3,3,2,3,3,3,3,3,3
116,0,78,54202,2937856804,"Black",0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4
117,1,18,560992,314712024064,"White",0,0,0,0,0,1,1,1,2,2,2,2,5,5,3,3,2,3
118,1,57,35486,1259256196,"Hispanic",0,0,0,1,0,1,1,1,4,5,3,2,4,4,3,3,3,3
119,1,32,125032,15633001024,"White",0,0,0,1,1,1,1,1,3,3,3,3,4,5,4,4,3,3
120,0,65,41163,1694392569,"White",0,1,1,1,1,1,0,0,1,,3,,4,,3,,3,
121,1,23,34096,1162537216,"White",0,1,0,2,2,1,1,1,2,3,4,4,3,3,4,5,3,4
122,0,42,28323,802192329,"Asian",1,0,0,3,3,1,0,1,4,,3,,3,,3,,4,
123,0,24,42226,1783035076,"Black",0,0,1,1,1,1,0,0,2,,3,,4,,3,,4,
124,0,54,185945,34575543025,"Black",0,1,0,2,2,0,1,0,,3,,5,,3,,3,,3
125,0,62,63656,4052086336,"White",0,,1,1,1,1,1,0,3,3,4,3,5,5,3,3,4,4
126,1,69,73839,5452197921,"White",0,0,0,2,1,1,1,1,3,3,3,2,4,3,3,3,3,3
127,0,52,97809,9566600481,"Black",0,,0,1,0,1,1,0,4,3,4,4,3,3,3,3,3,3
128,0,68,262281,68791322961,"Hispanic",0,0,0,0,0,1,1,1,2,3,3,3,4,4,3,3,3,4
129,0,59,92992,8647512064,"Other",0,0,0,4,2,0,1,0,,3,,4,,3,,4,,3
130,1,38,15964,254849296,"Hispanic",0,1,1,0,0,0,1,1,,2,,5,,4,,3,,3
131,1,47,21872,478384384,"Black",0,1,1,0,0,1,1,1,2,3,5,4,3,3,3,3,2,3
132,1,25,14020,196560400,"White",0,0,0,2,2,1,1,0,3,3,3,3,3,3,3,3,2,3
133,1,37,5120,26214400,"White",0,0,0,2,1,1,1,1,3,4,2,1,3,2,3,3,3,4
134,1,58,140416,19716653056,"Hispanic",0,0,0,1,1,0,0,0,,,,,,,,,,
135,1,48,33685,1134679225,"Black",0,1,1,1,1,1,0,1,2,,4,,3,,4,,3,
136,1,47,68580,4703216400,"White",0,,0,4,3,1,1,0,3,3,3,3,4,4,3,3,4,4
137,1,24,128679,16558285041,"Black",0,1,1,1,1,1,1,1,1,2,3,2,3,4,3,3,2,3
138,1,31,33200,1102240000,"White",0,0,0,2,1,0,1,1,,3,,4,,3,,4,,3
139,1,29,44883,2014483689,"Black",0,0,0,1,1,1,1,0,2,3,4,5,4,3,2,2,3,3
140,0,46,66170,4378468900,"Black",0,1,0,1,0,1,0,0,1,,3,,3,,3,,3,
141,0,25,59903,3588369409,"Hispanic",0,0,0,2,2,1,1,0,2,2,3,3,3,3,3,3,4,4
142,0,48,26912,724255744,"White",0,0,0,3,1,1,1,1,3,4,2,2,3,3,2,2,3,3
143,0,23,89718,8049319524,"Black",1,1,1,1,1,1,1,0,1,1,5,5,3,2,3,3,3,3
144,0,67,77365,5985343225,"White",0,1,0,1,0,1,1,0,3,3,3,3,3,4,4,3,3,3
145,1,47,39697,1575851809,"White",0,0,0,1,1,1,1,1,2,3,3,3,4,4,3,4,3,3
146,0,29,18805,353628025,"White",0,0,0,2,0,1,1,0,2,2,3,3,3,2,2,1,3,3
147,0,44,82987,6886842169,"White",0,0,0,1,0,1,1,0,2,2,3,3,3,3,4,4,4,4
148,0,35,156654,24540475716,"Black",0,0,0,2,1,1,1,0,2,2,3,2,4,4,3,3,3,3
149,0,46,150873,22762662129,"Black",0,0,0,2,2,1,1,1,3,3,2,2,3,4,3,4,3,4
150,1,44,100497,10099647009,"Hispanic",0,0,0,1,0,1,1,1,2,3,4,3,4,4,4,4,2,3
151,1,25,33971,1154028841,"White",0,0,0,2,2,1,1,1,3,4,3,3,2,3,2,2,3,3
152,0,28,32686,1068374596,"White",0,1,0,3,3,1,0,1,2,,2,,2,,3,,3,
153,0,44,31245,976250025,"Other",0,0,0,0,0,1,0,1,3,,3,,3,,3,,2,
154,0,65,35969,1293768961,"White",0,0,0,2,2,1,1,0,3,3,3,3,4,4,3,3,3,3
155,0,56,88179,7775536041,"White",0,0,0,1,1,1,1,0,3,3,4,4,3,4,3,3,3,2
156,0,31,61383,3767872689,"Black",0,0,0,5,3,0,0,0,,,,,,,,,,
157,1,52,11324,128232976,"Hispanic",0,1,0,4,1,1,1,0,2,2,4,3,3,3,3,3,3,3
158,0,39,11286,127373796,"Hispanic",0,0,0,0,0,1,1,0,2,2,2,2,3,3,3,3,3,3
159,0,45,49095,2410319025,"Black",1,0,0,1,1,0,1,1,,4,,3,,4,,4,,4
160,0,44,56372,3177802384,"Black",0,0,0,1,1,1,1,0,3,3,3,3,3,3,3,4,3,3
161,1,79,7894,62315236,"White",0,0,0,1,1,1,1,1,3,4,3,3,3,2,3,4,3,4
162,0,22,26020,677040400,"White",0,0,0,1,1,1,1,0,3,2,2,3,2,3,4,4,4,3
163,1,42,51115,2612743225,"White",0,,0,3,3,1,1,1,3,3,3,2,2,2,2,3,3,3
164,0,18,161008,25923576064,"Black",1,0,0,1,0,1,1,1,2,2,3,2,4,4,2,2,3,3
165,0,49,9991,99820081,"Black",0,0,0,0,0,1,1,0,3,3,3,2,2,3,3,3,2,3
166,1,56,18314,335402596,"Hispanic",0,0,0,3,2,0,1,1,,3,,2,,3,,3,,3
167,1,62,21068,443860624,"White",0,,0,0,0,1,1,1,3,3,2,1,3,4,3,3,3,3
168,0,18,57532,3309931024,"Black",0,0,1,1,1,1,0,0,3,,3,,4,,2,,4,
169,0,46,65150,4244522500,"Asian",0,0,0,3,3,1,1,1,4,4,4,3,3,3,1,2,4,4
170,0,64,38686,1496606596,"White",0,0,0,2,1,1,1,0,3,3,3,2,2,2,3,3,2,2
171,1,34,13765,189475225,"Black",0,,0,2,2,0,0,0,,,,,,,,,,
172,0,37,30192,911556864,"Black",0,1,0,3,2,1,1,0,2,2,4,3,3,3,3,3,2,2
173,1,39,31933,1019716489,"White",0,0,0,0,0,1,0,1,3,,2,,3,,3,,4,
174,1,45,42519,1807865361,"Black",0,1,1,0,0,1,1,1,1,1,4,4,3,3,3,4,2,2
175,1,50,183155,33545754025,"Black",1,0,1,3,2,1,1,0,3,3,3,3,4,4,3,3,3,3
176,1,60,29096,846577216,"Black",0,0,0,0,0,1,1,1,3,4,4,3,3,4,2,3,3,3
177,0,39,53146,2824497316,"White",0,0,1,3,3,1,1,0,2,2,3,3,3,3,3,2,3,3
178,1,43,28437,808662969,"Black",0,0,0,1,1,1,1,1,2,2,3,3,3,3,2,2,3,3
179,1,77,18538,343657444,"Black",0,0,0,4,2,1,1,0,2,2,4,4,3,3,4,3,3,3
180,1,46,83161,6915751921,"Black",0,,0,2,1,1,1,1,3,3,4,4,3,3,2,2,3,3
181,1,43,21575,465480625,"White",0,0,0,0,0,1,1,1,3,3,4,3,4,4,2,3,2,2
182,0,20,445943,198865159249,"Black",0,,0,0,0,0,1,0,,2,,2,,5,,1,,2
183,1,40,53843,2899068649,"Black",0,0,0,3,3,1,0,1,1,,4,,4,,3,,2,
184,0,37,52469,2752995961,"Black",0,1,1,1,0,1,1,0,1,1,5,5,4,3,4,3,2,2
185,1,40,47408,2247518464,"White",0,1,0,1,0,1,1,0,3,3,3,3,3,3,3,3,3,3
186,0,31,218534,47757109156,"White",0,,0,1,1,1,1,0,2,2,2,3,4,4,4,4,3,3
187,0,30,85044,7232481936,"Other",0,0,0,0,0,1,1,1,2,3,4,3,3,3,3,3,3,3
188,1,29,40904,1673137216,"Black",0,0,0,0,0,1,1,0,2,2,3,3,3,4,3,4,3,3
189,1,37,19670,386908900,"Black",0,1,1,0,0,1,0,0,1,,4,,3,,3,,3,
190,1,61,21781,474411961,"Black",0,,0,4,4,1,1,1,3,4,3,3,3,3,3,3,3,3
191,0,56,26683,711982489,"White",0,0,0,2,0,1,1,0,2,3,4,4,3,3,3,3,3,3
192,0,35,132156,17465208336,"Black",0,0,0,4,2,1,1,0,1,1,4,4,3,3,3,2,2,2
193,1,18,42984,1847624256,"Other",0,0,0,2,2,1,1,1,3,3,4,4,4,4,3,4,3,3
194,1,27,27283,744362089,"Hispanic",0,0,0,1,1,1,1,1,2,3,4,4,3,4,3,3,2,2
195,1,33,94224,8878162176,"Asian",0,0,0,0,0,0,1,0,,3,,3,,4,,2,,4
196,0,42,146667,21511208889,"Hispanic",0,0,0,0,0,1,0,1,3,,4,,2,,3,,3,
197,0,30,28686,822886596,"Asian",0,1,0,1,1,1,1,0,3,3,4,3,3,3,3,3,3,3
198,1,70,35026,1226820676,"Black",0,0,0,2,1,1,0,1,2,,4,,3,,4,,2,
199,0,36,65907,4343732649,"Black",0,0,0,0,0,1,1,0,3,3,4,4,3,2,1,2,3,3
200,1,22,49807,2480737249,"Hispanic",0,0,0,1,1,1,0,1,2,,3,,4,,3,,3,
201,0,38,69208,4789747264,"Black",0,1,1,3,2,1,1,1,2,3,4,4,3,3,3,4,3,3
202,1,25,197035,38822791225,"White",0,0,0,0,0,1,0,1,3,,3,,4,,3,,3,
203,1,42,47642,2269760164,"White",0,0,0,2,1,1,1,1,4,4,4,4,4,4,3,4,3,4
204,1,44,39943,1595443249,"Black",0,1,1,1,0,1,1,0,2,2,4,4,2,3,4,5,2,2
205,0,45,73726,5435523076,"White",0,0,0,4,4,1,1,1,3,3,2,2,4,5,3,3,3,4
206,1,18,48065,2310244225,"Black",0,0,0,1,1,1,0,0,2,,3,,4,,4,,3,
207,0,43,82619,6825899161,"Other",0,0,0,1,0,1,0,1,3,,3,,4,,3,,3,
208,0,45,41798,1747072804,"Black",0,0,0,2,2,1,1,1,3,3,4,4,2,3,3,4,3,3
209,0,19,71296,5083119616,"White",0,0,0,2,2,1,0,0,2,,3,,3,,2,,3,
210,0,54,14311,204804721,"Black",0,0,1,3,1,1,1,1,2,3,4,4,4,4,3,3,4,4
211,0,52,50559,2556212481,"White",0,0,0,1,0,1,1,1,3,3,4,4,2,3,2,2,2,3
212,0,74,33084,1094551056,"White",0,0,1,0,0,1,1,0,2,3,4,4,3,3,3,3,4,4
213,0,42,19290,372104100,"Other",0,0,0,0,0,1,1,0,3,3,2,2,3,3,2,2,3,3
214,1,41,35930,1290964900,"White",0,0,0,1,1,1,1,1,2,2,3,2,3,3,2,2,3,4
215,0,41,67331,4533463561,"White",0,0,0,3,1,1,1,0,2,2,3,3,4,4,3,3,3,3
216,1,41,53834,2898099556,"Black",0,0,1,4,4,1,1,0,3,3,3,3,4,4,3,3,3,2
217,0,18,87079,7582752241,"Hispanic",0,0,0,3,1,1,1,0,3,3,3,3,3,3,3,2,3,3
218,0,18,106138,11265275044,"Black",0,0,0,1,1,1,1,0,2,2,3,2,3,3,3,3,3,3
219,1,39,97008,9410552064,"White",0,0,0,2,1,1,1,1,4,4,2,2,3,3,3,4,3,4
220,1,31,38568,1487490624,"Black",0,0,1,1,1,1,0,1,3,,4,,3,,2,,2,
221,0,41,17279,298563841,"White",0,0,1,2,1,1,0,0,3,,3,,2,,3,,2,
222,1,18,39955,1596402025,"Black",0,0,0,1,1,1,1,1,3,3,4,3,3,2,3,3,3,3
223,1,18,127453,16244267209,"Black",0,0,0,2,1,1,1,0,3,2,3,3,4,4,3,3,3,2
224,1,23,45370,2058436900,"Black",0,0,0,2,0,1,0,1,3,,3,,3,,3,,3,
225,0,55,13493,182061049,"Black",0,1,0,2,1,1,1,0,2,3,4,4,3,3,3,3,2,2
226,0,24,74079,5487698241,"White",0,,0,1,1,1,1,0,2,1,2,2,4,4,3,2,4,4
227,0,28,62645,3924396025,"Black",0,0,0,2,1,1,0,1,2,,3,,3,,3,,3,
228,1,41,36290,1316964100,"Black",0,0,0,2,2,1,1,1,2,2,4,4,3,4,3,3,2,2
229,1,35,57438,3299123844,"Hispanic",0,0,0,0,0,1,1,0,2,2,4,5,3,4,3,3,2,2
230,1,42,149535,22360716225,"Black",0,0,1,0,0,1,1,1,1,1,4,4,3,3,3,3,3,4
231,1,75,141370,19985476900,"Black",0,0,0,0,0,1,1,1,3,4,4,4,4,5,4,4,4,4
232,0,23,34709,1204714681,"Black",0,0,0,1,0,1,1,0,3,3,3,2,3,3,2,2,3,4
233,1,35,50428,2542983184,"Black",0,0,0,0,0,1,1,1,2,3,4,4,3,3,4,4,3,3
234,0,32,15623,244078129,"White",0,0,1,1,1,1,0,0,4,,3,,4,,3,,3,
235,0,63,27933,780252489,"Black",0,0,1,3,2,0,1,0,,3,,4,,4,,3,,2
236,0,28,249290,62145504100,"White",0,0,0,1,0,1,1,0,3,3,3,3,4,4,4,4,3,2
237,0,39,165742,27470410564,"Hispanic",0,1,0,0,0,1,0,0,2,,3,,4,,3,,2,
238,1,52,41622,1732390884,"Black",0,1,0,0,0,1,1,1,2,3,4,4,2,3,3,3,2,3
239,0,24,28733,825585289,"White",0,0,0,2,1,1,1,0,3,3,3,3,3,3,2,3,3,3
240,1,65,16755,280730025,"Black",0,0,0,2,1,1,0,1,2,,3,,4,,4,,3,
241,1,50,273928,75036549184,"Hispanic",0,0,0,2,1,1,1,1,3,3,2,2,4,4,3,4,3,3
242,1,24,54802,3003259204,"Black",0,0,0,1,1,1,0,1,3,,4,,2,,2,,3,
243,0,47,31089,966525921,"Black",0,0,1,2,2,1,1,0,2,3,4,4,3,3,4,4,3,3
244,1,37,118448,14029928704,"White",0,0,0,0,0,0,1,1,,3,,2,,4,,3,,3
245,0,45,20746,430396516,"Asian",0,0,0,2,2,1,1,0,2,3,4,4,3,3,3,3,3,3
246,1,39,89414,7994863396,"Black",0,0,0,0,0,1,1,1,2,2,4,3,4,4,2,2,3,3
247,0,56,158336,25070288896,"White",0,0,0,2,2,1,1,0,2,3,4,4,4,4,3,3,3,3
248,1,20,42262,1786076644,"Black",0,0,0,0,0,1,1,1,2,3,4,2,4,4,2,2,3,2
249,1,32,159660,25491315600,"White",0,0,0,4,3,1,0,1,3,,2,,3,,4,,3,
250,1,36,83535,6978096225,"Other",0,0,0,1,1,1,1,1,3,3,2,2,4,4,4,5,3,4
251,0,25,29049,843844401,"Hispanic",0,0,0,1,1,1,1,0,3,3,3,3,3,2,2,2,3,3
252,0,24,79160,6266305600,"Black",0,0,0,3,2,1,0,0,1,,4,,4,,3,,3,
253,1,40,28457,809800849,"Black",0,1,1,1,1,0,1,1,,1,,3,,2,,2,,2
254,0,38,32617,1063868689,"White",0,0,0,0,0,1,0,0,3,,4,,3,,3,,3,
255,1,18,92901,8630595801,"White",1,0,0,1,1,1,1,1,2,3,3,2,4,3,2,2,3,4
256,1,56,34176,1167998976,"Hispanic",0,0,1,1,1,1,1,0,3,2,3,4,2,2,4,4,2,3
257,0,44,49032,2404137024,"White",0,0,0,3,2,1,1,0,3,3,3,3,4,4,2,3,3,3
258,0,76,112982,12764932324,"White",0,0,1,0,0,1,0,0,3,,4,,3,,4,,3,
259,0,50,19059,363245481,"Black",0,0,0,1,1,1,1,0,3,4,4,4,3,4,1,1,4,5
260,1,33,179156,32096872336,"Black",1,0,1,2,1,1,1,0,3,3,3,3,3,4,3,3,3,4
261,1,82,256105,65589771025,"White",1,0,0,3,2,1,1,0,3,3,2,2,4,4,3,3,2,2
